id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
18653,Modern apartment well connected,71615,Mireia And Maria,Eixample,la Sagrada Família,41.40921459338917,2.1738675526453535,Entire home/apt,151,2,0,,,30,78
18666,Flat with Sunny Terrace,71615,Mireia And Maria,Sant Martí,el Camp de l'Arpa del Clot,41.40888621158034,2.1855453256058017,Entire home/apt,130,3,1,2015-10-10,0.04,30,70
18674,Huge flat for 8 people close to Sagrada Familia,71615,Mireia And Maria,Eixample,la Sagrada Família,41.404196784819064,2.1730577177402504,Entire home/apt,95,3,4,2016-06-20,0.07,30,276
19157,"Great Place in Sagrada Familia, Bcn",73099,Urania,Eixample,la Sagrada Família,41.40792900826702,2.1745404013370675,Private room,30,2,150,2018-01-03,1.65,2,93
19246,Double room in Spacious & nice Flat,73385,Delphine,Eixample,la Nova Esquerra de l'Eixample,41.382735011552796,2.1502704487861153,Private room,50,2,66,2017-10-12,0.68,4,363
21158,Cozy single room,80585,Rosmerly,Nou Barris,Vilapicina i la Torre Llobeta,41.42749503771392,2.172357127544318,Private room,18,3,26,2017-12-29,0.71,2,365
21605,Nice and sunny duble room,82522,Meritxell,Sant Martí,el Poblenou,41.4056041572247,2.19820512273065,Private room,33,2,59,2018-01-19,2.76,3,347
21974,Comf. double room/private bathroom,73163,Andres,Ciutat Vella,el Barri Gòtic,41.38076824557152,2.1755096344530243,Private room,60,3,2,2017-11-06,0.22,4,0
31377,"Room for 2,  Sagrada Famili",134698,Svetlana,Horta-Guinardó,el Baix Guinardó,41.41096940955444,2.1707012064871583,Private room,42,3,3,2017-11-17,0.09,3,187
31380,"Room for 2-3. Barcelona, Sagrada Famili",134698,Svetlana,Horta-Guinardó,el Baix Guinardó,41.410900426326464,2.1708189126808017,Private room,53,3,37,2017-11-26,1.15,3,191
31823,Aribau - in love with the city center(HUTB-012620),136853,Lina,Eixample,l'Antiga Esquerra de l'Eixample,41.38733580718026,2.159214821611301,Entire home/apt,119,3,37,2017-11-24,0.41,32,286
31958,Gaudi Penthouse - Unbeatable VIEWS (HUTB-004554),136853,Lina,Gràcia,el Camp d'en Grassot i Gràcia Nova,41.40952265172584,2.1609508456898157,Entire home/apt,124,3,129,2018-01-15,1.52,32,296
32471,Duplex with panoramic city views (HUTB-005373),136853,Lina,Gràcia,el Camp d'en Grassot i Gràcia Nova,41.40933944880899,2.1609816368188155,Entire home/apt,206,3,54,2018-01-01,0.63,32,275
32711,Sagrada Familia area - Còrsega 1,135703,Nick,Gràcia,el Camp d'en Grassot i Gràcia Nova,41.404635812260686,2.169537931472452,Entire home/apt,140,2,38,2018-01-27,0.48,12,307
32868,Awesome Gallery apartment terrace! (HUTB-004851),136853,Lina,Eixample,la Dreta de l'Eixample,41.395658583681076,2.174168184452797,Entire home/apt,268,3,78,2018-01-07,0.87,32,227
34981,VIDRE HOME PLAZA REAL on LAS RAMBLAS,73163,Andres,Ciutat Vella,el Barri Gòtic,41.3791695359138,2.1755459205559347,Entire home/apt,170,5,95,2018-01-10,1.06,4,286
35379,Double 02 CasanovaRooms Barcelona,152232,Pablo,Eixample,l'Antiga Esquerra de l'Eixample,41.390292371929434,2.1526776655400943,Private room,40,2,151,2018-02-04,2.10,4,294
35388,Single 01 CasanovaRooms Barcelona,152232,Pablo,Eixample,l'Antiga Esquerra de l'Eixample,41.390584087316824,2.151896791679498,Private room,30,2,136,2018-01-25,1.67,4,291
35390,Single 02 CasanovaRooms Barcelona,152232,Pablo,Eixample,l'Antiga Esquerra de l'Eixample,41.39146706179137,2.1511848274650394,Private room,30,2,125,2018-01-27,1.79,4,312
35392,Double 01 CasanovaRooms Barcelona,152232,Pablo,Eixample,l'Antiga Esquerra de l'Eixample,41.39075231772431,2.1507170864108045,Private room,45,2,106,2018-01-21,,4,314
36763,In front of the beach,158596,Ester,Ciutat Vella,la Barceloneta,41.37906404797985,2.191414374177489,Private room,38,2,45,2017-10-14,0.58,1,359
40246,Double room in Spacious Flat  ,73385,Delphine,Eixample,la Nova Esquerra de l'Eixample,41.38281989720297,2.151038889825316,Private room,50,2,14,2017-10-08,0.15,4,90
40983,Classical loft close to pedrera!,177617,Joaquin,Eixample,la Dreta de l'Eixample,41.39559668113324,2.167606582682667,Entire home/apt,95,3,78,2018-01-26,0.96,5,98
44868,Center of Barcelona,197737,Ushma,Ciutat Vella,el Raval,41.38144910594339,2.166924773426643,Entire home/apt,74,5,80,2017-09-23,0.88,2,288
45682,HUGE APARTMENT IN SAGRADA FAMILIA,183340,Teresa,Gràcia,el Camp d'en Grassot i Gràcia Nova,41.40470596794909,2.170120076942332,Entire home/apt,180,3,56,2017-10-30,0.90,1,294
49213,Barefoot in the park-Cool and fresch room,208154,Cate,Sants-Montjuïc,el Poble Sec,41.373151109271184,2.1664006033038836,Private room,35,2,25,2018-01-02,0.46,1,121
49968,Sagrada Familia area - Còrsega 2,135703,Nick,Gràcia,el Camp d'en Grassot i Gràcia Nova,41.40630655659375,2.1694475567849967,Entire home/apt,140,2,23,2018-01-23,0.29,12,290
50066,Sagrada Familia area - Sardenya 1,135703,Nick,Eixample,el Fort Pienc,41.39820673239579,2.1796556814819024,Entire home/apt,180,2,39,2018-01-05,0.49,12,225
58512,3 BR near St Pau Hospital & Sagrada Familia,280070,Cristina,Sant Martí,el Camp de l'Arpa del Clot,41.410990047567786,2.1811883117959634,Entire home/apt,95,3,307,2018-01-27,3.69,1,176
61444,Bright apartment - Rambla Catalunya (HUTB-005863),297545,Anil,Eixample,la Dreta de l'Eixample,41.3890083942644,2.1655162637312255,Entire home/apt,105,2,31,2017-11-25,0.57,5,269
64139,Confortable Flat in Barcelona,313418,Andrea,Gràcia,la Vila de Gràcia,41.39884567029871,2.1579433665602217,Entire home/apt,33,3,10,2018-01-05,0.12,1,143
66037,Great apartment in  en el Born,323105,Amivelaz,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",41.38322098271626,2.182339750582178,Entire home/apt,150,3,67,2018-01-05,0.79,1,283
67065,Londres centrally located nice apt (HUTB-001031),136853,Lina,Eixample,l'Antiga Esquerra de l'Eixample,41.39150326378198,2.150575219232701,Entire home/apt,258,3,34,2018-01-15,0.43,32,310
68547,two beds with private shower 30% off,340570,Atún,Ciutat Vella,el Barri Gòtic,41.38071988862891,2.1781089116350247,Private room,47,2,50,2017-09-24,0.60,1,359
69149,Single room in Nice&Spacious Flat ,73385,Delphine,Eixample,la Nova Esquerra de l'Eixample,41.382314979394955,2.1498950973559703,Private room,25,2,7,2016-05-29,0.10,4,365
69151,Single room in Nice&Spacious Flat ,73385,Delphine,Eixample,la Nova Esquerra de l'Eixample,41.382222372843216,2.1521166851000566,Private room,25,2,40,2017-08-04,0.48,4,363
70099,"Room with a View, Bcn City Center",353987,Alex,Ciutat Vella,el Raval,41.378284332844,2.1708049698328726,Private room,29,1,197,2018-02-03,2.32,1,219
71553,PENTHOUSE SPECIAL PRICE ON JANUARY 2018!,366654,Arian Watermelon Barcelona!,Eixample,el Fort Pienc,41.39740375606598,2.1768202149260754,Entire home/apt,120,2,44,2017-11-12,0.53,6,342
71603,ASK FOR SPECIAL PRICES ON JANUARY 2018!!,366654,Arian Watermelon Barcelona!,Eixample,la Dreta de l'Eixample,41.390379533157926,2.1760633161656253,Entire home/apt,390,2,35,2017-10-10,0.41,6,365
72436,Lugaris Beach Business Apartment,375625,Xavier,Sant Martí,el Poblenou,41.39837413386731,2.206234352358284,Entire home/apt,1000,3,43,2018-02-04,1.02,6,351
73455,RAMBLAS ORCHID2 FAMILY APARTMENT,383697,Anna,Ciutat Vella,el Raval,41.38422257403041,2.1670092261839797,Entire home/apt,120,3,59,2018-01-17,1.03,17,323
73481,NOU RAMBLA CENTRAL STUDIO,383697,Anna,Ciutat Vella,el Raval,41.378952758332716,2.1740599950640678,Entire home/apt,95,3,86,2018-01-21,2.50,17,328
73643,Salva B1 - VivoBarcelona Apts.,385249,Joel,Sants-Montjuïc,el Poble Sec,41.37196340924213,2.1638551485993394,Entire home/apt,189,3,13,2017-10-18,0.37,11,249
73649,PB1 - great terrace and little pool,385249,Joel,Sants-Montjuïc,Hostafrancs,41.37496458847168,2.1460610815984635,Entire home/apt,170,3,7,2017-06-29,0.19,11,287
73683,Sagrada Familia area for 12+ people,135703,Nick,Gràcia,el Camp d'en Grassot i Gràcia Nova,41.40506469617693,2.1708111675811006,Entire home/apt,300,2,112,2017-09-02,1.38,12,287
73692,Rustic apartment : Rambla Catalunya (HUTB-005863),297545,Anil,Eixample,la Dreta de l'Eixample,41.39107682312345,2.1652094808037186,Entire home/apt,105,2,29,2017-08-03,0.43,5,317
73693,Huge family apt with patio: Central (HUTB-005825),297545,Anil,Sants-Montjuïc,el Poble Sec,41.371628661781926,2.165909957230637,Entire home/apt,65,2,28,2018-01-06,0.61,5,288
73700,Centrally located budget apartment (HUTB-005832),297545,Anil,Sants-Montjuïc,el Poble Sec,41.37335457871332,2.1616515002562258,Entire home/apt,65,2,46,2017-12-08,0.69,5,338
74562,Cute Suite near the MACBA,382031,Lisette,Ciutat Vella,el Raval,41.38255015926335,2.1683645964737943,Private room,70,3,145,2017-10-02,1.72,1,349
75003,Holy Family Apartment H41,396363,Oscar And Diego,Eixample,la Sagrada Família,41.40438521139062,2.1777725489748527,Entire home/apt,113,2,5,2016-10-16,0.06,72,356
75411,Sagrada Familia Clot Patio,400154,Mireia,Sant Martí,el Clot,41.40825078107806,2.187291430812988,Entire home/apt,120,3,16,2017-12-04,0.22,3,147
79755,3Br-2bath-AC Full 5 stars reviews!,429939,Antonio,Eixample,l'Antiga Esquerra de l'Eixample,41.39090174091459,2.150581156438317,Entire home/apt,110,3,190,2017-12-31,2.30,1,36
80004,Parc Montjuic,431839,Xavier,Sants-Montjuïc,el Poble Sec,41.37188305815928,2.166560860098896,Entire home/apt,107,4,79,2018-01-04,0.97,1,237
81291,Sunny attic with pool near the beach!,95585,Daniela,Sant Martí,el Poblenou,41.404765167219985,2.2026395972562574,Entire home/apt,139,2,68,2018-01-02,1.02,3,336
83283,★PLAZA ©ATALUÑA ®oom x2 + private bath®oom+wifi,700165,Wonderful Barcelona,Eixample,Sant Antoni,41.38227283723164,2.161409856559936,Private room,35,2,77,2018-01-02,0.93,4,351
83403,La Pedrera Paseo de Gracia I,396363,Oscar And Diego,Eixample,la Dreta de l'Eixample,41.395339964626245,2.164757940053526,Entire home/apt,146,2,2,2015-05-15,0.03,72,0
89756,"Old town 1, 6minutesfrom Ramblas",488117,David,Ciutat Vella,el Raval,41.37815338278758,2.16894289793616,Entire home/apt,350,6,10,2017-04-07,0.16,4,338
89776,Modernist flat Downtown Casa Estapé | Barcelona,488151,Pols,Eixample,el Fort Pienc,41.39376507480906,2.1795035757482255,Entire home/apt,65,3,208,2018-01-09,2.73,1,251
92425,PLAZA CATALUNYA CENTRAL TWO BEDROOM APARTMENT,497450,Francesc,Ciutat Vella,el Raval,41.38520192060267,2.1690216966184224,Entire home/apt,45,15,73,2017-10-18,1.02,3,155
95560,La Sagrada Familia (and metro) 4 blocks!,494228,Julián,Gràcia,el Camp d'en Grassot i Gràcia Nova,41.405846520191176,2.1688797820240775,Private room,15,2,384,2018-01-27,4.70,2,161
95719,Lovely room to rent in El Gotico,509260,Dalila,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",41.38389725862773,2.180114760948354,Private room,53,2,148,2018-01-02,1.79,1,340
97529,CENTRAL  FURNISHED 1 ENSUITE BEDROOM APARTMENT,497450,Francesc,Gràcia,el Camp d'en Grassot i Gràcia Nova,41.40905670582747,2.165385047170188,Entire home/apt,38,32,62,2016-11-05,0.82,3,155
101021,"Vista Real en suite, la Boheme chic",529756,Fabienne,Ciutat Vella,el Barri Gòtic,41.38030603826841,2.1744716697638093,Entire home/apt,235,3,83,2018-01-15,1.07,3,200
104485,Best Location guarantee!,543801,Pinar,Eixample,l'Antiga Esquerra de l'Eixample,41.39118864860903,2.1564145967314827,Private room,20,2,181,2017-11-30,2.29,1,37
107437,A beautiful  villa in Barcelona,556626,Beatriz,Sarrià-Sant Gervasi,"Vallvidrera, el Tibidabo i les Planes",41.42864338347722,2.091585894684503,Entire home/apt,200,3,29,2018-01-03,0.36,2,283
